plant,OptimalSoilDepth,AbsoluteSoilDepth,MinOptimalTemperature,MaxOptiomalTempreture,MinAbsoluteTemperature,MaxAbsoluteTemperature,OptimalSoilTexture,AbsoluteSoilTexture,OptimalRainfallMin,OptimalRainfallMax,AbsoluteRainfallMin,AbsoluteRainfallMax,OptimalSoilFertility,AbsoluteSoilFertility,OptimalLatitudeMin,OptimalLatitudeMax,AbsoluteLatitudeMin,AbsoluteLatitudeMax,OptimalSoilSalinity,AbsoluteSoilSalinity,OptimalSoilPhMin,OptimalSoilPhMax,AbsoluteSoilMin,AbsoluteSoilMax,OptimalSoilDrainage,AbsoluteSoilDrainage,OptimalLightIntensityMin,OptimalLightIntensityMax,AbsoluteLightIntensityMin,AbsuluteLightIntensityMax,ClimateZone,PhotoPeriod,MinCropCycle,MaxCropCycle
Abelmoschus esculentus,shallow (20-50 cm),shallow (20-50 cm),20,30,12,35,"heavy, medium, light, organic","heavy, medium, light",600,1200,300,2500,high,moderate,-,-,35,40,low (<4 dS/m),low (<4 dS/m),5.5,7,4.5,8.7,well (dry spells),well (dry spells),clear skies,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)",short day (<12 hours),50,180
Abelmoschus manihot,medium (50-150 cm),medium (50-150 cm),22,30,16,36,"medium, organic","heavy, medium, light",1200,2000,1000,3000,high,moderate,-,-,-,-,low (<4 dS/m),low (<4 dS/m),5.5,7,5,8,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar)",long day (>14 hours),365,365
Abelmoschus moschatus,medium (50-150 cm),shallow (20-50 cm),20,30,10,35,"medium, organic","medium, organic",1000,1400,900,1500,high,moderate,-,-,23,29,low (<4 dS/m),low (<4 dS/m),5.5,7,5,8,well (dry spells),well (dry spells),cloudy skies,very bright,light shade,very bright,tropical wet & dry (Aw),,0,0
Abies alba,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,"temperate oceanic (Do), temperate continental (Dc)",,0,0
Abies amabilis,medium (50-150 cm),shallow (20-50 cm),12,18,6,22,"medium, organic","heavy, medium, organic",1500,6000,1000,6650,high,moderate,42,40,58,60,low (<4 dS/m),low (<4 dS/m),5,7,4.5,7.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",clear skies,cloudy skies,very bright,light shade,"temperate oceanic (Do), boreal (E)",,0,0
Abies balsamea,medium (50-150 cm),shallow (20-50 cm),10,18,4,26,"heavy, medium, organic","heavy, medium, light, wide, organic",750,1100,400,1500,moderate,low,45,42,55,58,low (<4 dS/m),low (<4 dS/m),5,6.5,4.5,7.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",cloudy skies,clear skies,cloudy skies,clear skies,"temperate oceanic (Do), temperate continental (Dc), boreal (E)",,100,160
Abies concolor,deep (>>150 cm),shallow (20-50 cm),10,18,5,22,medium,"heavy, medium, light, wide",800,1200,350,1900,moderate,low,32,30,42,44,low (<4 dS/m),low (<4 dS/m),4.5,6.5,4,7,well (dry spells),well (dry spells),cloudy skies,very bright,cloudy skies,very bright,"steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do)","short day (<12 hours), neutral day (12-14 hours)",150,180
Abies pindrow,deep (>>150 cm),deep (>>150 cm),16,24,2,32,medium,medium,1300,2000,1100,2500,high,moderate,-,-,-,-,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7.5,well (dry spells),well (dry spells),very bright,clear skies,very bright,heavy shade,temperate oceanic (Do),"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",90,180
Abroma augustum,deep (>>150 cm),medium (50-150 cm),26,31,18,36,medium,"heavy, medium, light",1500,3000,1300,3500,high,low,-,-,-,-,low (<4 dS/m),low (<4 dS/m),5,6,4.5,6.5,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),100,210
Abutilon theophrasti,deep (>>150 cm),medium (50-150 cm),14,25,10,30,medium,"heavy, medium, light",650,2000,500,3000,moderate,low,-,-,50,56,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.9,8.2,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),75,140
